Normalization,Pruned by Groups, Pruned by Composite, Total Intervals
0.0,4224,4972,5050
0.1,4194,4978,5050
0.2,4157,4958,5050
0.3,4131,4893,5050
0.4,3790,4401,5050
0.5,3667,4228,5050
